ID,Type,SKU,Name,"Short description",Description,"Tax status","In stock?","Backorders allowed?","Weight (kg)","Allow customer reviews?","Sale price","Regular price",Categories,Images,Parent,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
4621,variable,1302918216,"Sugarless Multigrain Atta",,,taxable,1,0,,1,,,"Atta > Multigrain Atta","https://gutmantra.in/wp-content/uploads/2026/03/Sugar-Less.png, https://gutmantra.in/wp-content/uploads/2026/03/image-2.png",,Varient,"1 KG",1,1,,,,
4626,variation,,"Sugarless Multigrain Atta - 1 KG",,,taxable,1,0,,0,190,220,,,1302918216,Varient,"1 KG",,1,,,,
4627,variable,1302918723,"High Protein Multigrain Atta",,,taxable,1,0,,1,,,"Atta > Multigrain Atta","https://gutmantra.in/wp-content/uploads/2026/03/Power-Grain.png, https://gutmantra.in/wp-content/uploads/2026/03/High-Protein-Multigrain.png",,Varient,"1 KG",1,1,,,,
4628,variation,,"High Protein Multigrain Atta - 1 KG",,,taxable,1,0,,0,180,200,,,1302918723,Varient,"1 KG",,1,,,,
4630,variable,1302918208,"Gluten Free Multigrain Atta",,,taxable,1,0,,1,,,"Atta > Multigrain Atta","https://gutmantra.in/wp-content/uploads/2026/03/Gluten-Free-Recipe.png, https://gutmantra.in/wp-content/uploads/2026/03/glutenfree.jpeg",,Varient,"1 KG",1,1,,,,
4631,variation,,"Gluten Free Multigrain Atta - 1 KG",,,taxable,1,0,,0,150,165,,,1302918208,Varient,"1 KG",,1,,,,
4632,variable,1302913330,"Lil Champ Multigrain Atta",,,taxable,1,0,,1,,,"Atta > Multigrain Atta","https://gutmantra.in/wp-content/uploads/2026/03/Lil-Champ-from-Google-Drive.png, https://gutmantra.in/wp-content/uploads/2026/03/lilchamp.jpeg",,Varient,"1 KG",1,1,,,,
4633,variation,,"Lil Champ Multigrain Atta - 1 KG",,,taxable,1,0,,0,180,210,,,1302913330,Varient,"1 KG",,1,,,,
4634,variable,1302719454,"Weight Control Multigrain Atta",,,taxable,1,0,,1,,,"Atta, Atta > Multigrain Atta","https://gutmantra.in/wp-content/uploads/2026/03/Weight-Balance-1.png, https://gutmantra.in/wp-content/uploads/2026/03/Weight-Control-Multigrain.png",,Varient,"1 KG",1,1,,,,
4635,variation,,"Weight Control Multigrain Atta - 1 KG",,,taxable,1,0,,0,160,180,,,1302719454,Varient,"1 KG",,1,,,,
